prompt,completion
"User: I want to set a reminder.", "Bot: What reminder would you like to add?"
"User: I want to learn AI from this Monday.", "Bot: Could you please specify the time?"
"User: 10 AM.", "Bot: Okay, I have set a reminder for you.  I've saved a reminder to learn AI this Monday at 10 AM."
"User: Remind me to buy groceries.", "Bot: When would you like to be reminded to buy groceries?"
"User: Tomorrow afternoon.", "Bot: What time tomorrow afternoon?"
"User: 3 PM.", "Bot: Okay, I've set a reminder for you to buy groceries tomorrow at 3 PM."
"User: Set a reminder for dentist appointment.", "Bot: What day and time is your dentist appointment?"
"User: Next Wednesday at 2:00 PM.", "Bot: Okay, I've set a reminder for your dentist appointment next Wednesday at 2:00 PM."
"User: Remind me to call John.", "Bot: When should I remind you to call John?"
"User: Friday morning.", "Bot: At what time Friday morning?"
"User: 9:00 AM.", "Bot: Okay, I have set a reminder for you to call John on Friday at 9:00 AM."
"User: I need a reminder to pay bills.", "Bot: When are your bills due?"
"User: The 15th of next month.", "Bot: What time on the 15th of next month?"
"User: 5 PM.", "Bot: Okay, I've set a reminder to pay bills on the 15th of next month at 5 PM."
"User: Set reminder for meeting with team.", "Bot: When is the meeting with the team?"
"User: Tuesday at 11 AM.", "Bot: Okay, I've set a reminder for your meeting with the team on Tuesday at 11 AM."
"User: Remind me about my flight.", "Bot: When is your flight?"
"User: Saturday at 7 PM.", "Bot: Okay, I have set a reminder for your flight on Saturday at 7 PM."
"User: Set a reminder to pick up the kids.", "Bot: When do you need to pick up the kids?"
"User: Today at 4 PM.", "Bot: Okay, I've set a reminder to pick up the kids today at 4 PM."
"User: Remind me to water the plants.", "Bot: When should I remind you to water the plants?"
"User: Every other day at 6 PM.", "Bot: Okay, I've set a recurring reminder to water the plants every other day at 6 PM."
"User: Set a reminder to take medicine.", "Bot: When should you take your medicine?"
"User: Every morning at 8 AM.", "Bot: Okay, I've set a recurring reminder to take your medicine every morning at 8 AM."
"User: I want a reminder to go to the gym.", "Bot: What days and times do you want to go to the gym?"
"User: Monday, Wednesday, and Friday at 7 AM.", "Bot: Okay, I've set a recurring reminder to go to the gym on Mondays, Wednesdays, and Fridays at 7 AM."
"User: Remind me to call my mom.", "Bot: When should I remind you to call your mom?"
"User: Sunday afternoon at 2 PM.", "Bot: Okay, I've set a reminder to call your mom on Sunday at 2 PM."
"User: Set a reminder for project deadline.", "Bot: When is the project deadline?"
"User: End of next week.", "Bot: Could you please specify the date and time?"
"User: Friday at 5 PM.", "Bot: Okay, I've set a reminder for the project deadline on Friday at 5 PM."
"User: I need a reminder to buy a gift for Sarah.", "Bot: When do you need to buy the gift for Sarah?"
"User: Before her birthday next month.", "Bot: Can you tell me her birthday date so I can set up a reminder?"
"User: It's on the 20th.", "Bot: Okay, I've set a reminder to buy a gift for Sarah before the 20th of next month."
"User: Set a reminder to book a flight for vacation.", "Bot: When are you planning to go on vacation?"
"User: In July.", "Bot: Okay, I've set a reminder to book a flight for your vacation sometime in July."
"User: Remind me to study for the exam.", "Bot: When is your exam?"
"User: Next month on the 10th.", "Bot: What time would you like to be reminded?"
"User: 6 PM.", "Bot: Okay, I've set a reminder to study for the exam on the 10th of next month at 6 PM."
"User: Set a reminder to renew my subscription.", "Bot: When does your subscription expire?"
"User: End of the month.", "Bot: Okay, I've set a reminder to renew your subscription at the end of the month."
"User: I want to be reminded to walk the dog.", "Bot: When should I remind you to walk the dog?"
"User: Every evening at 7 PM.", "Bot: Okay, I've set a recurring reminder to walk the dog every evening at 7 PM."
"User: Set a reminder to clean the house.", "Bot: When would you like to be reminded to clean the house?"
"User: This Saturday morning.", "Bot: At what time this Saturday morning?"
"User: 10 AM.", "Bot: Okay, I've set a reminder to clean the house this Saturday at 10 AM."
"User: Remind me to call the plumber.", "Bot: When should I remind you to call the plumber?"
"User: Tomorrow morning.", "Bot: At what time tomorrow morning?"
"User: 8 AM.", "Bot: Okay, I've set a reminder to call the plumber tomorrow at 8 AM."
"User: Set a reminder to go to the bank.", "Bot: When do you need to go to the bank?"
"User: Next week on Tuesday.", "Bot: At what time next Tuesday?"
"User: 11 AM.", "Bot: Okay, I've set a reminder to go to the bank next Tuesday at 11 AM."
"User: Remind me to watch the football game.", "Bot: When is the football game?"
"User: Sunday afternoon at 3 PM.", "Bot: Okay, I've set a reminder to watch the football game on Sunday at 3 PM."
"User: Set a reminder to pick up dry cleaning.", "Bot: When do you need to pick up the dry cleaning?"
"User: This Friday afternoon.", "Bot: At what time this Friday afternoon?"
"User: 5 PM.", "Bot: Okay, I've set a reminder to pick up the dry cleaning this Friday at 5 PM."
"User: Remind me to buy milk.", "Bot: When should I remind you to buy milk?"
"User: Tomorrow morning.", "Bot: At what time tomorrow morning?"
"User: 7 AM.", "Bot: Okay, I've set a reminder to buy milk tomorrow at 7 AM."
"User: Set a reminder to take the car for service.", "Bot: When do you need to take the car for service?"
"User: Next week on Wednesday.", "Bot: At what time next Wednesday?"
"User: 9 AM.", "Bot: Okay, I've set a reminder to take the car for service next Wednesday at 9 AM."
"User: Remind me to wish my sister a happy birthday.", "Bot: When is your sister's birthday?"
"User: Next Saturday.", "Bot: At what time next Saturday?"
"User: 12 PM.", "Bot: Okay, I've set a reminder to wish your sister a happy birthday next Saturday at 12 PM."
"User: Set a reminder to book a table at the restaurant.", "Bot: When are you planning to go to the restaurant?"
"User: This Friday evening.", "Bot: At what time this Friday evening?"
"User: 7:30 PM.", "Bot: Okay, I've set a reminder to book a table at the restaurant this Friday evening at 7:30 PM."
"User: Remind me to call my doctor.", "Bot: When should I remind you to call your doctor?"
"User: Tomorrow morning.", "Bot: At what time tomorrow morning?"
"User: 9 AM.", "Bot: Okay, I've set a reminder to call your doctor tomorrow at 9 AM."
"User: Set a reminder to pay the rent.", "Bot: When is the rent due?"
"User: First of next month.", "Bot: At what time on the first of next month?"
"User: 10 AM.", "Bot: Okay, I've set a reminder to pay the rent on the first of next month at 10 AM."
